2026-08-22 21:40:33.902 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:86 - Creating 1 DUTs using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_dut0\bench.toml
2026-08-22 21:40:33.903 | DEBUG    | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:95 - Resolving DUT characterized_ic from asset DUT-001
2026-08-22 21:40:33.903 | DEBUG    | elims_instruments.duts.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:33.904 | DEBUG    | elims_instruments.duts.factory | elims_instruments.duts.factory:create:43 - Creating Dut for DUT asset DUT-001
2026-08-22 21:40:33.904 | DEBUG    | elims_instruments.duts.abstract | elims_instruments.duts.abstract:__init__:19 - Initialized Dut for DUT asset DUT-001
2026-08-22 21:40:33.904 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:103 - Created 1 DUTs
2026-08-22 21:40:33.904 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:121 - Loaded bench with 1 instruments, 1 boards, and 1 DUTs
2026-08-22 21:40:34.000 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_without_board_table0\bench.toml
2026-08-22 21:40:34.000 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_without_board_table0\bench.toml
2026-08-22 21:40:34.000 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-22 21:40:34.000 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench instruments
2026-08-22 21:40:34.000 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench boards from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_without_board_table0\bench.toml
2026-08-22 21:40:34.000 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench duts from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_without_board_table0\bench.toml
2026-08-22 21:40:34.000 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:105 - Creating 1 instrument drivers using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_without_board_table0\bench.toml
2026-08-22 21:40:34.001 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument primary_dmm from asset DMM-001
2026-08-22 21:40:34.001 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:34.001 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset DMM-001 with type multimeter
2026-08-22 21:40:34.001 | DEBUG    | elims_instruments.intruments.multimeter.factory | elims_instruments.intruments.multimeter.factory:create:67 - Creating Keysight34401A driver for multimeter asset DMM-001
2026-08-22 21:40:34.001 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight34401A driver for asset DMM-001
2026-08-22 21:40:34.001 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight34401A driver for asset DMM-001
2026-08-22 21:40:34.002 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:122 - Created 1 instrument drivers
2026-08-22 21:40:34.002 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:86 - Creating 0 board drivers using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_without_board_table0\bench.toml
2026-08-22 21:40:34.002 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:103 - Created 0 board drivers
2026-08-22 21:40:34.002 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:86 - Creating 0 DUTs using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_without_board_table0\bench.toml
2026-08-22 21:40:34.003 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:103 - Created 0 DUTs
2026-08-22 21:40:34.003 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:121 - Loaded bench with 1 instruments, 0 boards, and 0 DUTs
2026-08-22 21:40:34.098 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_rejects_missing_ass0\bench.toml
2026-08-22 21:40:34.098 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_rejects_missing_ass0\bench.toml
2026-08-22 21:40:34.098 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment missing -> DMM-999
2026-08-22 21:40:34.098 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench instruments
2026-08-22 21:40:34.098 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench boards from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_rejects_missing_ass0\bench.toml
2026-08-22 21:40:34.098 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench duts from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_rejects_missing_ass0\bench.toml
2026-08-22 21:40:34.098 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:105 - Creating 1 instrument drivers using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_rejects_missing_ass0\bench.toml
2026-08-22 21:40:34.099 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument missing from asset DMM-999
2026-08-22 21:40:34.099 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:34.192 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_rejects_duplicate_a0\bench.toml
2026-08-22 21:40:34.192 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_rejects_duplicate_a0\bench.toml
2026-08-22 21:40:34.192 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment first -> DMM-001
2026-08-22 21:40:34.287 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_rejects_unauthorize0\bench.toml
2026-08-22 21:40:34.287 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_rejects_unauthorize0\bench.toml
2026-08-22 21:40:34.288 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset SCOPE-001 with type oscilloscope
2026-08-22 21:40:34.367 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:86 - Creating 1 board drivers using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_create_boards_uses_base_d0\bench.toml
2026-08-22 21:40:34.368 | DEBUG    | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:95 - Resolving board characterization_board from asset BRD-001
2026-08-22 21:40:34.368 | DEBUG    | elims_instruments.boards.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:34.369 | DEBUG    | elims_instruments.boards.factory | elims_instruments.boards.factory:create:43 - Creating Board driver for board asset BRD-001
